title,imdb_id,tmdb_id,original_title,adult,belongs_to_collection,poster_path,budget,genres,homepage,overview,popularity,production_companies,production_countries,release_date,spoken_languages,status,vote_average,vote_count,movie_id,original_language
"20,000 Days on Earth",tt2920540,246400.0,"20,000 Days on Earth",False,,/4nXq0IkGCPtEyeUJRabrSD20fZ8.jpg,0.0,,http://www.20000daysonearth.com/,A semi-fictionalized documentary about a day in the life of Australian musician Nick Cave's persona.,11.922021,,,2014-07-05,,Released,7.0,73.0,20_000+days+on+earth+2014,en
2001: A Space Odyssey,tt0062622,62.0,2001: A Space Odyssey,False,,/90T7b2LIrL07ndYQBmSm09yqVEH.jpg,10500000.0,,,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",22.494621,,,1968-04-10,,Released,7.9,3075.0,2001+a+space+odyssey+1968,en
2009: Lost Memories,tt0294252,23132.0,2009 ???????,False,,/hFZnTJilqKbzKljrjQTArZWgu9J.jpg,0.0,,,"There are breakpoints in the history, the result of a single event may change the whole course. In 1909, an assassination attempt of a Japanese governor fails. Now, in 2009, Korea is just another state of Japan's Empire & Seoul has become a major city. A Korean resistance group fights for liberty, independence & the restoration of true history. Two cops, Japanese & Korean, investigate the group.",2.111875,,,2002-02-01,,Released,5.2,24.0,2009+lost+memories+2002,ko
2010: Moby Dick,tt1694508,50053.0,2010: Moby Dick,False,,/zmxtGxqE94Cw0b6SVr2SiimdCS.jpg,0.0,,,"That infamous whale is bigger, badder and a whole lot stronger in this sci-fi reimagining of Herman Melville’s classic tale of the battle between man, sea and sea creature starring “Xena” alum Rene O’Connor as the (traditionally male) narrator. But the boat — now a high-tech submarine — is also bigger, and Capt. Ahab is as determined as ever to settle the score and take down the mighty sea mammal that maimed him.",1.931324,,,2010-11-23,,Released,2.8,26.0,2010+moby+dick+2010,en
2012: Time for Change,tt1506940,48752.0,2012: Time for Change,False,,/kE5SAdIVTTDhefwzek81laEDaxT.jpg,0.0,,,2012: Time For Change is a documentary feature that presents ways to transform our unsustainable society into a regenerative planetary culture. This can be achieved through a personal and global change of consciousness and the systemic implementation of ecological design.,0.130351,,,2010-10-08,,Released,5.0,1.0,2012+time+for+change+2010,en
2019: After the Fall of New York,tt0085125,23807.0,2019 - Dopo la caduta di New York,False,,/lRbhD8NQfvx58804e3WG7AhhF8Z.jpg,0.0,,,"After a nuclear war, society breaks down into two groups, the evil Euraks and the rebel Federation. A mercenary named Parsifal is hired by the Federation to infiltrate New York City, which is controlled by the Euraks, to rescue the only fertile woman left on Earth.",1.323491,,,1983-07-22,,Released,4.5,18.0,2019+after+the+fall+of+new+york+1983,en
20th Century Boys - Chapter 1: Beginning of the End,tt1155705,36683.0,20????< ?1?> ???????,False,,/ihpu4GqQcO2SHtF864o8YerObtT.jpg,20000000.0,,http://www.4digitalmedia.com/20cb/index.html,"In 1969, Kenji, an elementary school kid and his friends built a secret base during their summer holidays. They fantasized that they had to fight villains who were out to conquer the world and wrote them in the Book of Prophecies. Years later in 1997, Kenji becomes a convenience store manager and leads a regular life after giving up his dreams to become a rock star. His boring life is suddenly turned upside down when his old classmate dies mysteriously and an entire family in the neighbourhood disappears. At the same time, a religious cult and its mysterious leader, Friend emerges and a strange chain of events duplicating exactly the events described in the Book of Prophecies follow. Is this the beginning of the end of the world? Who is Friend?",1.889519,,,2008-08-19,,Released,6.7,21.0,20th+century+boys+-+chapter+1+beginning+of+the+end+2008,ja
21 & Over,tt1711425,107811.0,21 & Over,False,,/wNN7MnoQn1nB1Kt8ybehJ1HCxJe.jpg,13000000.0,,,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",11.29356,,,2013-03-01,,Released,5.7,748.0,21++over+2013,en
21 Ways to Ruin a Marriage,tt2281065,178806.0,21 tapaa pilata avioliitto,False,,/lF8S7dWydOE20Ym1yJEyuM0vYYh.jpg,0.0,,,"The film follows Sanna, who sets out to document the countless ways there are to ruin a marriage for her doctoral thesis.",0.367875,,,2013-02-07,,Released,6.4,7.0,21+ways+to+ruin+a+marriage+2013,en
2:13,tt1002561,39303.0,2:13,False,,/UMWgQlB0IGMI15d4EBd70hCCt2.jpg,3500000.0,,,"A police profiler has just returned from psychiatric leave only to find that he is caught up in a serial killer's rampage. Fighting to keep buried the trauma of his childhood, he must confront the all too-familiar flesh masks that the killer leaves on the faces of his victims. He must face his own demons along with the killer to save his small eroding existence.",0.861213,,,2009-04-25,,Released,4.6,10.0,213+2009,en
